word,class,level,meaning,full_sentence,category
a,indefinite article,a1,một (dùng trước danh từ số ít đếm được bắt đầu bằng phụ âm),I saw a dog running in the park.,Grammar
abandon,verb,b2,"bỏ rơi, từ bỏ",The crew had to abandon the ship during the storm.,General
ability,noun,a2,"khả năng, năng lực",She has an amazing ability to solve complex problems.,People
able,adjective,a2,"có thể, có khả năng","After much practice, he was finally able to play the piano.",People
abolish,verb,c1,"bãi bỏ, thủ tiêu",The government decided to abolish the old law.,Government & Politics
abortion,noun,c1,"sự phá thai, sự nạo thai",The debate over abortion rights is a complex and sensitive issue in many countries.,Medical & Treatment
about,adverb,a1,"khoảng, chừng (diễn tả sự xấp xỉ)","It's about five o'clock, so we should leave soon.",Time
about,preposition,a1,"về, liên quan đến",The book is about a young wizard's adventures.,Grammar
above,adverb,a1,"ở trên, lên trên (chỉ vị trí cao hơn)",The sun was shining brightly from above.,Places & Directions
above,preposition,a1,ở trên (vị trí cao hơn một vật khác),The birds were flying high above the trees.,Places & Directions
abroad,adverb,a2,"ở nước ngoài, ra nước ngoài",Many students choose to study abroad for a year.,Places & Directions
absence,noun,c1,"sự vắng mặt, sự thiếu vắng",Her absence from the meeting was noted by everyone.,Personal & Social
absent,adjective,c1,"vắng mặt, thiếu",He was absent from school for three days due to illness.,General
absolute,adjective,b2,"tuyệt đối, hoàn toàn",She has absolute confidence in her team's ability to win.,Emotions
absolutely,adverb,b1,"hoàn toàn, tuyệt đối (dùng để nhấn mạnh hoặc đồng ý)","""Are you sure?"" ""Absolutely!""",Communication
absorb,verb,b2,"hấp thụ, thấm hút",Plants absorb water and nutrients from the soil through their roots.,Science
abstract,adjective,b2,"trừu tượng, khó hiểu",Love is an abstract concept that is difficult to define precisely.,General
absurd,adjective,c1,"vô lý, ngớ ngẩn",It's absurd to think that you can learn a new language in just one week.,General
abundance,noun,c1,"sự phong phú, sự dồi dào",The ocean provides an abundance of marine life.,Environment
abuse,noun,c1,"sự lạm dụng, sự ngược đãi",Child abuse is a serious crime with long-lasting consequences.,Personal & Social
abuse,verb,c1,"lạm dụng, ngược đãi",Many people abuse their power for personal gain.,Personal & Social
academic,adjective,b1,"thuộc về học thuật, có tính học thuật","She has an excellent academic record, always getting top grades.",General
academic,noun,b2,"học giả, giảng viên đại học",The conference brought together leading academics from around the world to discuss climate change.,General
academy,noun,c1,"học viện, trường chuyên nghiệp",He dreams of attending a prestigious military academy after high school.,General
accelerate,verb,c1,"tăng tốc, đẩy nhanh",The car accelerated smoothly as he pressed the pedal.,Technology
accent,noun,b2,"Giọng điệu, cách phát âm đặc trưng của một người hoặc vùng miền.",She spoke English with a strong French accent.,Grammar
accept,verb,a2,"Chấp nhận, đồng ý nhận.",I accept your apology.,Communication
acceptable,adjective,b2,"Có thể chấp nhận được, thỏa đáng.","The quality of the work is acceptable, but not outstanding.",General
acceptance,noun,c1,"Sự chấp nhận, sự đồng ý.",Her acceptance of the award was met with applause.,Communication
access,noun,b1,"Quyền hoặc khả năng tiếp cận, lối vào.",Students have 24-hour access to the library.,Technology
access,verb,b1,"truy cập, tiếp cận",Users can access their accounts online from any device.,Technology
accessible,adjective,c1,"có thể tiếp cận được, dễ dàng sử dụng",The building was designed to be accessible to people with disabilities.,Personal & Social
accident,noun,a2,"tai nạn, sự cố",She was involved in a minor car accident on her way to work.,General
accidentally,adverb,b2,"một cách tình cờ, vô tình",I accidentally deleted the important file instead of saving it.,General
accommodate,verb,b2,"chứa được, đáp ứng, cung cấp chỗ ở",The hotel can accommodate up to 200 guests at full capacity.,Travel
accommodation,noun,b1,"chỗ ở, nơi ăn nghỉ",The hotel offers comfortable accommodation for families.,Travel
accompany,verb,b2,"đi cùng, hộ tống",Children must be accompanied by an adult.,Society & Community
accomplish,verb,b2,"hoàn thành, đạt được",She hopes to accomplish all her goals by the end of the year.,General
accomplishment,noun,c1,"thành tựu, sự hoàn thành",Graduating from university was a great accomplishment for him.,General
accordance,noun,c1,"sự phù hợp, sự tuân theo",The project was completed in accordance with the original plan.,Professions
according to,preposition,a2,"theo như, căn cứ vào","According to the weather forecast, it will rain tomorrow.",Grammar
accordingly,adverb,c1,"do đó, theo đó, phù hợp với","The weather forecast predicted rain, and accordingly, we brought our umbrellas.",Grammar
account,noun,b1,tài khoản; bản báo cáo; sự giải thích,I need to check my bank account to see if I have enough money.,Personal Finance
account,verb,b2,giải thích; chiếm (tỷ lệ),The poor weather accounted for the delay in the flight.,General
accountability,noun,c1,trách nhiệm giải trình; sự chịu trách nhiệm,There is a strong need for greater accountability in public spending.,General
accountable,adjective,c1,"chịu trách nhiệm, có trách nhiệm giải trình",Managers are accountable for the performance of their teams.,Professions
accountant,noun,b2,kế toán viên,My accountant helps me prepare my tax returns every year.,Business & Management
accounting,noun,b2,"kế toán (ngành, công việc)",She decided to study accounting at university because she enjoys working with numbers.,General
accumulate,verb,c1,"tích lũy, chồng chất","Over the years, he managed to accumulate a vast collection of rare books.",Finance
accumulation,noun,c1,"sự tích lũy, sự chồng chất",The accumulation of dust on the shelves indicated that the room hadn't been cleaned in a while.,General
accuracy,noun,b2,"sự chính xác, độ chính xác",The accuracy of the weather forecast has improved significantly.,Science
accurate,adjective,b2,"chính xác, đúng đắn",Please provide accurate information for the report.,Grammar
accurately,adverb,b2,một cách chính xác,The machine can measure the temperature accurately to within 0.1 degrees.,Innovation & Engineering
accusation,noun,c1,"sự buộc tội, lời buộc tội",He denied all the accusations made against him.,Crime & Justice
accuse,verb,b2,"buộc tội, tố cáo",They accused him of stealing the money.,General
accused,noun,c1,"người bị buộc tội, bị cáo",The accused maintained his innocence throughout the trial.,Crime & Justice
achieve,verb,a2,"đạt được, hoàn thành",She worked hard to achieve her goals.,People
achievement,noun,b1,"thành tựu, sự đạt được",Winning the championship was a great achievement for the team.,Sports
acid,adjective,c1,"có vị chua, có tính axit",Lemons have a very acid taste.,Food & Drink
acid,noun,b2,axit,Sulfuric acid is a very strong chemical.,Biology & Chemistry
acknowledge,verb,b2,"công nhận, thừa nhận, xác nhận",She refused to acknowledge the fact that she had made a mistake.,Communication
acquire,verb,b2,"đạt được, giành được, mua lại",The company decided to acquire a smaller competitor to expand its market share.,Business & Management
acquisition,noun,c1,"sự mua lại, sự giành được, tài sản mua được",The recent acquisition of the new software company was a strategic move.,Business & Management
acre,noun,c1,mẫu Anh (đơn vị đo diện tích đất),"They bought a large plot of land, about ten acres, to build their new farm.",Science
across,adverb,a1,"ngang qua, từ bên này sang bên kia",He ran across the field to catch the ball.,Places & Directions
across,preposition,a1,"ngang qua, bên kia",She walked across the street to get to the park.,Places & Directions
act,noun,b1,"hành động, đạo luật",It was an act of kindness to help the old woman.,People
act,verb,a2,"hành động, đóng vai",He decided to act immediately to solve the problem.,General
action,noun,a1,"hành động, hoạt động",We need to take action to protect the environment.,Environment
activate,verb,b2,"kích hoạt, khởi động",Press this button to activate the alarm system.,Computing & Internet
activation,noun,c1,"sự kích hoạt, sự khởi động",The activation of the new security system will happen at midnight.,Technology
active,adjective,a2,"năng động, hoạt động",It's important to stay active to maintain good health.,Body & Fitness
activist,noun,c1,nhà hoạt động,She is a well-known environmental activist fighting for climate change.,Government & Politics
activity,noun,a1,hoạt động,Reading is a quiet activity that many people enjoy.,Social Life
actor,noun,a1,diễn viên (nam),The actor received an award for his outstanding performance in the film.,Arts & Music
actress,noun,a1,nữ diễn viên,The actress received an award for her outstanding performance in the film.,Arts & Music
actual,adjective,b2,"thực tế, có thật",The actual cost of the trip was much higher than we expected.,General
actually,adverb,a2,"thực ra, trên thực tế","I thought it would be difficult, but it was actually quite easy.",General
acute,adjective,c1,"cấp tính (y học); sắc bén, nhạy bén (trí tuệ); nghiêm trọng (vấn đề)",She suffered from acute pain in her back after the accident.,Medical & Treatment
ad,noun,b1,quảng cáo (viết tắt của advertisement),I saw an interesting ad for a new car on TV last night.,Professions
adapt,verb,b2,"thích nghi, điều chỉnh",It takes time to adapt to a new culture and environment.,General
adaptation,noun,c1,"sự thích nghi, sự điều chỉnh; bản chuyển thể",The adaptation of the novel into a film was very successful.,Grammar
add,verb,a1,"thêm vào, cộng",Please add sugar to my coffee.,Food & Drink
addiction,noun,b2,sự nghiện ngập,His addiction to video games affected his studies.,Health
addition,noun,b1,"sự thêm vào, phép cộng; vật thêm vào",The new wing is a welcome addition to the hospital.,General
additional,adjective,b2,"thêm vào, bổ sung",We need to hire additional staff to handle the increased workload.,Professions
additionally,adverb,b2,"thêm vào đó, ngoài ra","The new software is faster; additionally, it offers more features.",Innovation & Engineering
address,noun,a1,địa chỉ,Please write your full name and address on the form.,Home & Housing
address,verb,b2,giải quyết (vấn đề); phát biểu,The government needs to address the issue of climate change urgently.,Politics & Law
adequate,adjective,b2,"đủ, thích đáng",Make sure you have adequate supplies for the camping trip.,Travel
adequately,adverb,b2,"một cách đầy đủ, thích đáng",The team was not adequately prepared for the challenging competition.,Professions
adhere,verb,c1,"tuân thủ, dính chặt vào",All employees must adhere to the company's strict safety regulations.,General
adjacent,adjective,c1,"liền kề, kế bên",The library is located adjacent to the main university building.,Environment
adjust,verb,b2,"điều chỉnh, thích nghi",You might need to adjust the settings on your monitor for better viewing.,Innovation & Engineering
adjustment,noun,c1,"sự điều chỉnh, sự thích nghi",Making an adjustment to the schedule allowed everyone to attend the meeting.,General
administer,verb,c1,"quản lý, điều hành; cấp phát (thuốc)",The nurse will administer the medication to the patient.,Medical & Treatment
administration,noun,b2,"sự quản lý, sự điều hành; chính quyền",The university administration announced new policies for students.,General
administrative,adjective,c1,"thuộc về hành chính, quản lý",She is responsible for all the administrative tasks in the office.,Professions
administrator,noun,c1,"người quản lý, người điều hành",The network administrator fixed the server issue quickly.,Computing & Internet
admire,verb,b1,"ngưỡng mộ, khâm phục",I truly admire her courage and determination.,Feelings & States
admission,noun,c1,"sự vào cửa, sự nhận vào, sự thừa nhận",The museum charges a small fee for admission.,Travel
admit,verb,b1,"thừa nhận, cho phép vào",She had to admit that she made a mistake.,Communication
adolescent,noun,c1,thanh thiếu niên,The clinic offers counseling services specifically for adolescents.,Emotions
adopt,verb,b2,"nhận nuôi, chấp nhận, áp dụng",They decided to adopt a child from an orphanage.,Family
adoption,noun,c1,"sự nhận nuôi, sự chấp nhận, sự áp dụng",The adoption of new policies led to significant changes in the company.,Professions
adult,adjective,a2,"trưởng thành, dành cho người lớn",This movie contains adult themes and is not suitable for children.,Arts & Music
adult,noun,a1,"người lớn, người trưởng thành",Children under 12 must be accompanied by an adult.,Family
advance,adjective,b2,"trước, sớm, tiên tiến",Please give us advance notice if you need to cancel your appointment.,Communication
advance,noun,b2,"sự tiến bộ, sự ứng trước, sự thăng tiến",The company offered him an advance on his salary.,Professions
advance,verb,b2,"tiến lên, thăng tiến, ứng trước",The army decided to advance towards the enemy's position.,Politics & Law
advanced,adjective,b1,"tiên tiến, cao cấp",The hospital uses advanced medical equipment for its surgeries.,Technology
advantage,noun,a2,"lợi thế, ưu điểm",Speaking multiple languages is a great advantage in today's global job market.,General
adventure,noun,a2,"cuộc phiêu lưu, sự mạo hiểm",Their trip through the mountains was a thrilling adventure.,Travel
adverse,adjective,c1,"bất lợi, có hại, nghịch cảnh",The company faced adverse conditions due to the economic downturn.,Finance
advertise,verb,a2,quảng cáo,Many companies advertise their products on television and online.,General
advertisement,noun,a2,"mẩu quảng cáo, thông báo quảng cáo",I saw an interesting advertisement for a new car on TV last night.,Business & Management
advertising,noun,a2,"ngành quảng cáo, hoạt động quảng cáo",The company spends a lot of money on advertising to reach new customers.,Business & Management
advice,noun,a1,lời khuyên,My mother always gives me good advice when I have a problem.,Family
advise,verb,b1,"khuyên bảo, cho lời khuyên",I would advise you to study hard for your exams.,General
advocate,noun,c1,"người ủng hộ, người biện hộ",She is a strong advocate for environmental protection and sustainable living.,Government & Politics
advocate,verb,c1,"ủng hộ, tán thành",Many organizations advocate for human rights and environmental protection.,Personal & Social
aesthetic,adjective,c1,"thuộc về mỹ học, có tính thẩm mỹ",The new building has a pleasing aesthetic design that blends with the surroundings.,Visual Arts
affair,noun,b2,"sự việc, vấn đề; chuyện tình cảm (ngoài luồng)",The company's financial affairs are being investigated by the authorities.,Professions
affect,verb,a2,"ảnh hưởng đến, tác động đến",The weather can greatly affect your mood and daily plans.,Feelings & States
affection,noun,c1,"tình cảm, sự yêu mến","She showed great affection for her grandchildren, always hugging them tightly.",Feelings & States
afford,verb,b1,có đủ khả năng (tài chính) để mua/làm gì,I can't afford to buy a new car right now.,Personal Finance
affordable,adjective,b2,"giá cả phải chăng, hợp túi tiền",The store sells good quality clothes at affordable prices.,Daily Life
afraid,adjective,a1,"sợ hãi, lo sợ",She is afraid of spiders.,Emotions
after,adverb,a2,"sau đó, sau này",We had dinner and went for a walk soon after.,Time
after,conjunction,a2,sau khi,I will call you after I finish work.,Time
after,preposition,a1,"sau (một thời điểm, sự kiện)",We will meet after work.,Time
aftermath,noun,c1,"hậu quả, kết quả (thường là tiêu cực của một sự kiện lớn)",The city was in ruins in the aftermath of the earthquake.,General
afternoon,noun,a1,buổi chiều,I usually have a cup of tea in the afternoon.,Time
afterwards,adverb,b2,"sau đó, về sau",We went to the cinema and afterwards we had dinner.,Daily Life
again,adverb,a1,"lại, lần nữa","Please say that again, I didn't hear you.",Communication
against,preposition,a2,"chống lại, đối lại, ngược lại",It's difficult to swim against the current.,Sports
age,noun,a1,"tuổi, thời đại",What is the legal drinking age in your country?,Politics & Law
age,verb,b1,"già đi, làm cho già đi",The stress of the job seemed to age him quickly.,Emotions
aged,adjective,b1,"già, có tuổi",The aged cheese had a very strong flavor.,Food & Drink
agency,noun,b2,"cơ quan, đại lý",She found a new job through a recruitment agency.,Business & Management
agenda,noun,b2,"chương trình nghị sự, nhật ký công tác",The first item on the agenda for today's meeting is the budget review.,Business & Management
agent,noun,b1,"người đại diện, đặc vụ, tác nhân","She works as a real estate agent, helping people buy and sell homes.",Professions
aggression,noun,c1,"sự gây hấn, sự hung hăng",The country's act of aggression was condemned by the international community.,Politics & Law
aggressive,adjective,b2,"hung hăng, hiếu chiến, quyết liệt",The company launched an aggressive marketing campaign to increase sales.,Professions
ago,adverb,a1,trước đây,I visited Paris two years ago and loved it.,Duration & Frequency
agree,verb,a1,"đồng ý, tán thành",I agree with your opinion on this matter.,Communication
agreement,noun,b1,"sự đồng ý, hiệp định, hợp đồng",We reached an agreement after a long discussion.,Business & Management
agricultural,adjective,c1,thuộc về nông nghiệp,The region is known for its rich agricultural land.,Environment
agriculture,noun,b2,nông nghiệp,Agriculture is a vital industry in many developing countries.,Economics & Trade
ah,exclamation,a2,"à, ồ (thán từ biểu lộ sự hiểu ra, ngạc nhiên, hoặc thất vọng)","Ah, now I understand what you mean!",Emotions
